AECX1101,AECX1102,AECX1107,AZZX0011,AECX1104,Positions
4403000000023127,溪涌,0755-84235280,葵涌办事处,大鹏新区葵涌办事处溪坪南路19号1楼,lng:114.357258|lat:22.607862
4403000000023128,罗田,0755-29936552,燕罗街道,宝安区燕罗街道罗田社区燕罗公路118号,lng:113.875662|lat:22.79621
4403000000023129,燕川,0755-23008032,燕罗街道,宝安区燕罗街道燕川社区红湖路33号,lng:113.863061|lat:22.8034
4403000000023130,山门,0755-27713355,燕罗街道,宝安区燕罗街道山门社区山门路麒麟花园A栋一至二楼,lng:113.932403|lat:22.546159
4403000000023131,洪桥头,0755-27058510,燕罗街道,宝安区燕罗街道洪桥头社区洪桥头路4号,lng:113.840025|lat:22.781101
4403000000023132,塘下涌,0755-29930609,燕罗街道,宝安区燕罗街道塘下涌社区众福路12号,lng:113.842887|lat:22.798055
4403000000023133,水田,0755-29519657,石岩街道,宝安区石岩街道宝石东路8号祝龙田股份公司大楼三楼,lng:113.95998|lat:22.683475
4403000000023134,石龙,0755-81793596,石岩街道,宝安区石龙社区德政路春晖苑二楼,lng:113.9735|lat:22.692697
4403000000023135,官田,0755-27760263,石岩街道,宝安区官田社区北环路大树林公园路1号,lng:113.936326|lat:22.672463
4403000000023136,上屋,0755-29001993,石岩街道,宝安区石岩街道上屋大道9号上屋社区工作站,lng:113.934148|lat:22.681626
4403000000023137,龙腾,0755-27645002,石岩街道,宝安区石岩街道光明路1号,lng:113.929026|lat:22.685689
4403000000023138,浪心,0755-29820276,石岩街道,宝安区石岩街道塘头大道200号,lng:113.91853|lat:22.669733
4403000000023139,罗租,0755-29170308,石岩街道,宝安区石岩街道同辉路罗租工作站三楼,lng:113.936483|lat:22.670367
4403000000023140,塘头,0755-29826665,石岩街道,宝安区石岩街道塘头大道15号,lng:113.914887|lat:22.656839
4403000000023141,应人石,0755-27624435,石岩街道,宝安区石岩街道应人石永新街1号,lng:114.118983|lat:22.54482
4403000000023142,平湖,0755-28854350,平湖街道,龙岗区平湖街道平湖社区高原路1号,lng:114.141984|lat:22.689523
4403000000023143,新木,0755-84673543,平湖街道,龙岗区平湖街道新木社区新木路229号,lng:114.13171|lat:22.66548
4403000000023144,辅城坳,0755-84694880,平湖街道,龙岗区平湖街道辅城坳社区岭南路139号,lng:114.097563|lat:22.698203
4403000000023145,鹅公岭,0755-28458061,平湖街道,龙岗区平湖街道鹅公岭社区园岭北路3号,lng:114.152675|lat:22.676986
4403000000023146,上木古,0755-84255991,平湖街道,龙岗区平湖街道上木古社区彩姿南路36号,lng:114.11916|lat:22.668098
4403000000023147,良安田,0755-84687505,平湖街道,龙岗区平湖街道良安田社区爱良路22号,lng:114.148581|lat:22.666694
4403000000023148,白坭坑,0755-84663197,平湖街道,龙岗区平湖街道白坭坑社区白银路77号,lng:114.155586|lat:22.653088
4403000000023149,山厦,0755-84659820,平湖街道,龙岗区平湖街道山厦社区山厦路69号,lng:114.115376|lat:22.704229
4403000000023150,新南,0755-28854780,平湖街道,龙岗区平湖街道新南社区平湖大街369号4栋,lng:114.136063|lat:22.687392
4403000000023153,凤凰,0755-84682668,平湖街道,龙岗区平湖街道凤凰社区平龙东路138号-1,lng:114.133383|lat:22.70341
4403000000023154,力昌,0755-28844677,平湖街道,龙岗区平湖街道力元路66号,lng:114.12642|lat:22.700879
4403000000023155,禾花,0755-28499289,平湖街道,龙岗区平湖街道禾花社区同富路8号,lng:114.32079|lat:22.769726
4403000000023156,布吉,0755-84182500,布吉街道,龙岗区布吉街道布吉莲花路135-1号,lng:114.110781|lat:22.598284
4403000000023157,水径,0755-28877161,吉华街道,龙岗区吉华街道水径社区吉华路237号大坡头综合楼六楼,lng:114.111884|lat:22.610218
4403000000023158,三联,0755-28520953,吉华街道,龙岗区吉华街道三联社区联布北路1号,lng:114.117072|lat:22.625051
4403000000023159,甘坑,0755-28303183,吉华街道,龙岗区吉华街道甘坑新村12巷8-1号,lng:114.106024|lat:22.656681
4403000000023160,布吉圩,0755-28273382,布吉街道,龙岗区布吉街道布吉中心广场B座20楼,lng:114.11783|lat:22.60056
4403000000023161,龙岭,0755-28288907,布吉街道,龙岗区布吉街道龙岭山庄丽廷豪苑二楼,lng:114.113371|lat:22.605953
4403000000023162,长龙,0755-28552513,布吉街道,龙岗区布吉街道长龙社区长龙新村二区六巷1号,lng:114.116481|lat:22.611093
4403000000023163,德兴,0755-28878288,布吉街道,龙岗区布吉街道西环路钱排村源丰楼,lng:114.10776|lat:22.590177
4403000000023164,龙珠,0755-84036238,布吉街道,龙岗区布吉街道龙珠花园龙凤阁1楼,lng:114.12482|lat:22.602253
4403000000023165,国展,0755-89969208,布吉街道,龙岗区布吉街道百合星城D栋121-122号,lng:114.1213|lat:22.59825
4403000000023166,罗岗,0755-84706555,布吉街道,龙岗区布吉街道罗岗荔山公馆5号楼1-2楼,lng:114.127266|lat:22.592333
4403000000023167,凤凰,0755-84189328,布吉街道,龙岗区布吉街道西环路格塘新村97号,lng:114.105524|lat:22.599308
4403000000023168,丽湖,0755-28549607,吉华街道,龙岗区吉华街道上水花园208栋,lng:114.109323|lat:22.628474
4403000000023169,东方半岛,0755-28759517,布吉街道,龙岗区布吉街道半岛苑一栋二楼,lng:114.128789|lat:22.612895
4403000000023170,中海怡翠,0755-28531223,吉华街道,龙岗区吉华街道中海怡翠山庄23栋二楼,lng:114.1094|lat:22.623157
4403000000023171,茂业,0755-28721025,布吉街道,龙岗区布吉街道龙岗大道（布吉段）2279号知春里大厦七楼,lng:114.139414|lat:22.617423
4403000000023172,光华,0755-89317222,吉华街道,龙岗区吉华街道阳光花园17栋2楼,lng:114.116165|lat:22.614353
4403000000023173,金排,0755-22258531,布吉街道,龙岗区布吉街道金排社区金稻田路理想家园3栋1楼,lng:114.126041|lat:22.589337
4403000000023174,南三,0755-28591460,布吉街道,龙岗区布吉街道金运路38号吉大花园C栋三单元一楼,lng:114.122881|lat:22.606369
4403000000023151,木棉湾,0755-28887983,布吉街道,龙岗区布吉街道木棉湾怡国路332号,lng:114.128744|lat:22.604695
4403000000023152,大芬,0755-89513887,布吉街道,龙岗区布吉街道大芬中怡路40号,lng:114.139548|lat:22.612101
4403000000023175,翠湖,0755-84271478,吉华街道,龙岗区吉华街道大靓花园综合楼一楼,lng:114.106471|lat:22.609548
4403000000023176,文景,0755-84272090,布吉街道,龙岗区布吉街道金运家园2B栋2楼,lng:114.121334|lat:22.607338
4403000000023177,可园,0755-84418833,布吉街道,龙岗区布吉街道湖中路可园花园19栋商铺1103号,lng:114.135239|lat:22.599827
4403000000023178,四季花城,0755-28770019,坂田街道,龙岗区坂田街道四季花城桂花苑东商业街F102商铺二楼,lng:114.059438|lat:22.6257
4403000000023179,新雪,0755-28791716,坂田街道,龙岗区坂田街道新雪社区坂澜大道嘉霖华禧5、6栋商铺负二楼,lng:114.078068|lat:22.649252
4403000000023180,三溪,0755-84207418,葵涌办事处,大鹏新区葵涌办事处金业路138号1楼,lng:114.428924|lat:22.634881
4403000000023181,坂田,0755-28893886,坂田街道,龙岗区坂田街道坂田第三工业区1栋,lng:114.068742|lat:22.63338
4403000000023182,杨美,0755-89608005,坂田街道,龙岗区坂田街道杨美社区发达路风清林苑一、二楼,lng:114.075995|lat:22.630677
4403000000023183,大发埔,0755-89749228,坂田街道,龙岗区坂田街道大发埔里石排村一巷20号A栋坂田集团商务中心附楼1楼,lng:114.058256|lat:22.631461
4403000000023184,南坑,0755-84190839,坂田街道,龙岗区坂田街道南坑社区南坑市场三楼,lng:114.063016|lat:22.614658
4403000000023185,马安堂,0755-28777629,坂田街道,龙岗区坂田新河街8-1号,lng:114.075603|lat:22.625483
4403000000023186,五和,0755-84712138,坂田街道,龙岗区坂田街道和磡村一巷1号1、4、5楼,lng:114.06394|lat:22.62266
4403000000023187,万科城,0755-89506934,坂田街道,龙岗区坂田街道坂雪岗大道万科城丁香公寓二楼,lng:114.067658|lat:22.649713
4403000000023188,第五园,0755-89370076,坂田街道,龙岗区坂田街道第五园五期二栋一楼,lng:114.070118|lat:22.61288
4403000000023189,象角塘,0755-28386601,坂田街道,龙岗区坂田街道雪象花园新村B区61-63-85栋1、2楼,lng:114.07556|lat:22.651246
4403000000023190,官湖,0755-84236122,葵涌办事处,大鹏新区葵涌办事处官湖东路88号3楼,lng:114.42849|lat:22.603579
4403000000023191,丹竹头,0755-28754868,南湾街道,龙岗区南湾街道丹竹头社区共创盈公馆2楼,lng:114.153624|lat:22.622895
4403000000023192,土洋,0755-84230405,葵涌办事处,大鹏新区葵涌办事处吓门路18号3楼,lng:114.415856|lat:22.639508
4403000000023193,吉厦,0755-28740683,南湾街道,龙岗区南湾街道吉厦社区裕昌路6号,lng:114.159531|lat:22.614468
4403000000023194,厦村,0755-28753903,南湾街道,龙岗区南湾街道厦村社区桂新三路2号,lng:114.164315|lat:22.610549
4403000000023195,樟树布,0755-89368534,南湾街道,龙岗区南湾街道布沙路59号六楼,lng:114.156697|lat:22.605022
4403000000023196,葵丰,0755-84202933,葵涌办事处,大鹏新区葵涌办事处丰树山东路98号3楼,lng:114.412368|lat:22.636116
4403000000023197,葵涌,0755-84209806,葵涌办事处,大鹏新区葵涌办事处葵涌延安路6号3-4楼,lng:114.429651|lat:22.632218
4403000000023198,沙湾,0755-28748724,南湾街道,龙岗区南湾街道沙湾兴华路66号,lng:114.164594|lat:22.608434
4403000000023199,南龙,0755-84268177,南湾街道,龙岗区南湾街道南岭花园综合市场三楼,lng:114.143408|lat:22.603209
4403000000023200,葵新,0755-84206568,葵涌办事处,大鹏新区葵涌办事处葵鹏路30号1-3楼,lng:114.427299|lat:22.618098
4403000000023201,鹏城,0755-84319843,大鹏办事处,大鹏新区大鹏办事处鹏城社区鹏飞路82号,lng:114.508162|lat:22.592564
4403000000023202,布新,0755-84305136,大鹏办事处,大鹏新区大鹏办事处布新社区布新路33号,lng:114.48484|lat:22.57962
4403000000023203,南新,0755-84038706,南湾街道,龙岗区南湾街道布沙路140号,lng:114.147028|lat:22.60686
4403000000023204,岭澳,0755-84308591,大鹏办事处,大鹏新区大鹏办事处岭南路9号,lng:114.474189|lat:22.593536
4403000000023217,南联,0755-84828256,龙岗街道,龙岗区龙岗街道南联路32号,lng:114.263727|lat:22.723261
4403000000023218,大鹏,0755-84303010,大鹏办事处,大鹏新区大鹏办事处王母街18号,lng:114.479177|lat:22.592332
4403000000023219,新生,0755-84889831,龙岗街道,龙岗区龙岗街道新生社区沿河路8号,lng:114.276972|lat:22.738904
4403000000023220,南约,0755-84822259,宝龙街道,龙岗区宝龙街道南约社区比宝二路83号,lng:114.276969|lat:22.692062
4403000000023221,同乐,0755-89266525,宝龙街道,龙岗区宝龙街道同乐社区乐园路18号,lng:114.307864|lat:22.710436
4403000000023222,龙岗墟,0755-28832232,龙岗街道,龙岗区龙岗街道紫苑街108号,lng:114.285755|lat:22.732889
4403000000023223,平南,0755-84809011,龙岗街道,龙岗区龙岗街道碧新路2033号,lng:114.269046|lat:22.71161
4403000000023224,宝龙,0755-89900500,宝龙街道,龙岗区宝龙街道宝龙社区宝龙二路1号,lng:114.290272|lat:22.685243
4403000000023225,同德,0755-89266186,宝龙街道,龙岗区宝龙街道同德社区浪背村9号,lng:114.325732|lat:22.731154
4403000000023226,六约,0755-28633112,横岗街道,龙岗区横岗街道六约社区恒丰路22号,lng:114.189304|lat:22.62751
4403000000023227,横岗,0755-28861963,横岗街道,龙岗区横岗街道横岗社区坝心街3号,lng:114.20556|lat:22.643526
4403000000023228,同心,0755-89266621,宝龙街道,龙岗区宝龙街道深汕路（龙岗段）341号万泉工业区内固本强基综合楼,lng:114.29276|lat:22.727892
4403000000023229,龙东,0755-84862251,宝龙街道,龙岗区宝龙街道龙东社区金井路33号,lng:114.287816|lat:22.720186
4403000000023230,龙新,0755-28835795,宝龙街道,龙岗区宝龙街道龙新社区龙升路89号,lng:114.30272|lat:22.733341
4403000000023231,爱联,0755-28955666,龙城街道,龙岗区龙城街道爱联社区爱南路666号一楼大厅,lng:114.229929|lat:22.691711
4403000000023232,王母,0755-84305285,大鹏办事处,大鹏新区大鹏办事处迎宾路70号,lng:114.472841|lat:22.597067
4403000000023233,水头沙,0755-84428266,南澳办事处,大鹏新区南澳办事处南澳水头沙社区水沙路100号,lng:114.479672|lat:22.55048
4403000000023234,回龙埔,0755-28936274,龙城街道,龙岗区龙城街道万科翰林城12栋1楼便民服务大厅,lng:114.231906|lat:22.731651
4403000000023235,愉园,0755-89729319,龙城街道,龙岗区龙城街道中心城万科金色沁园7栋1楼,lng:114.224754|lat:22.723862
4403000000023236,尚景,0755-89987601,龙城街道,龙岗区龙城街道中心城尚景华园16栋A112号,lng:114.242033|lat:22.727462
4403000000023237,黄阁坑,0755-89983868,龙城街道,龙岗区龙城街道天昊华庭A8栋2楼,lng:114.212118|lat:22.711541
4403000000023238,盛平,0755-28962258,龙城街道,龙岗区龙城街道盛平社区龙西东路41号,lng:114.25549|lat:22.736557
4403000000023239,龙红格,0755-28937979,龙城街道,龙岗区龙城街道黄阁翠苑会所109号,lng:114.211736|lat:22.713726
4403000000023240,紫薇,0755-28901492,龙城街道,龙岗区龙城街道新亚洲花园商铺一区吉祥路249号二楼,lng:114.237935|lat:22.717109
4403000000023241,新联,0755-28966555,龙城街道,龙岗区龙城街道龙城街道爱联美晨路18号,lng:114.235004|lat:22.701961
4403000000023242,嶂背,0755-28953331,龙城街道,龙岗区龙城街道嶂背社区园湖路横三巷3号,lng:114.24119|lat:22.679863
4403000000023243,吉祥,0755-89335556,龙城街道,龙岗区龙城街道爱联社区美晨路18号爱联办公大厦,lng:114.235004|lat:22.701961
4403000000023244,六联,0755-84088823,坪地街道,龙岗区坪地街道六联社区鹤鸣西路18号,lng:114.32613|lat:22.78913
4403000000023245,坪西,0755-84083638,坪地街道,龙岗区坪地街道坪西社区富泰南路1号,lng:114.283525|lat:22.762347
4403000000023246,年丰,0755-84086217,坪地街道,龙岗区坪地街道年丰社区坪梓路21号,lng:114.329293|lat:22.766393
4403000000023247,坪东,0755-84076826,坪地街道,龙岗区坪地街道同心南路78号,lng:114.313833|lat:22.766849
4403000000023248,四方埔,0755-84077986,坪地街道,龙岗区坪地街道西湖塘街6号,lng:114.321203|lat:22.760657
4403000000023249,中心,0755-84091956,坪地街道,龙岗区坪地街道湖田路8号,lng:114.30544|lat:22.764884
4403000000023250,怡心,0755-84053296,坪地街道,龙岗区坪地街道文明东路21号,lng:114.303528|lat:22.76926
4403000000023251,坪地,0755-84090548,坪地街道,龙岗区坪地街道湖田路66号,lng:114.311215|lat:22.770924
4403000000023252,高桥,0755-84089030,坪地街道,龙岗区坪地街道教育北路72号,lng:114.298885|lat:22.782275
4403000000023253,西涌,0755-84421165,南澳办事处,大鹏新区南澳办事处西涌鹤薮二区190号,lng:114.493895|lat:22.536082
4403000000023254,东涌,0755-84420061,南澳办事处,大鹏新区南澳办事处东涌社区大围126号,lng:114.493895|lat:22.536082
4403000000023255,东山,0755-84422459,南澳办事处,大鹏新区南澳办事处东山社区大碓路58号,lng:114.493895|lat:22.536082
4403000000023256,东渔,0755-84422452,南澳办事处,大鹏新区南澳办事处东渔街1号,lng:114.493895|lat:22.536082
4403000000023257,南渔,0755-84404223,南澳办事处,大鹏新区南澳办事处人民路2号6楼,lng:114.04793|lat:22.702435
4403000000023258,南澳,0755-84401426,南澳办事处,大鹏新区南澳办事处人民路2号（文体中心）三楼309室,lng:114.04793|lat:22.702435
4403000000023259,新大,0755-84425457,南澳办事处,大鹏新区南澳办事处新大路55号,lng:114.516461|lat:22.536199
4403000000023260,南隆,0755-84401154,南澳办事处,大鹏新区南澳办事处人民路39号,lng:113.887422|lat:22.785121
4403000000023261,华航,0755-83258618,华强北街道,福田区振华路V尚街三楼,lng:114.08407|lat:22.54489
4403000000023262,罗湖桥,0755-82221933,南湖街道,罗湖区人民南路2011号联华大厦2楼,lng:114.118318|lat:22.536721
4403000000023263,渔邨,0755-22161149,南湖街道,罗湖区渔民村38号幸福万象一楼,lng:114.111232|lat:22.532874
4403000000023264,向西,0755-22318992,南湖街道,罗湖区东门南路太阳岛大厦12N,lng:114.124024|lat:22.540406
4403000000023265,嘉南,0755-25106805,南湖街道,罗湖区春风路广西外贸小区3号楼3楼,lng:114.125578|lat:22.537386
4403000000023266,桂木园,0755-82475206,桂园街道,罗湖区桂园路24号桂木园小区1栋2楼,lng:114.112285|lat:22.546579
4403000000023267,鹿丹村,0755-82495104,桂园街道,罗湖区中海鹿丹名苑10栋201、202,lng:114.107346|lat:22.534154
4403000000023268,翠平,0755-25612897,翠竹街道,罗湖区田贝二路9号金翠园A座二楼,lng:114.128469|lat:22.561237
4403000000023269,翠锦,0755-25601593,翠竹街道,罗湖区田贝四路水田一街10号2楼（水贝肉菜市场楼上）,lng:114.124022|lat:22.566493
4403000000023270,民新,0755-25485065,翠竹街道,罗湖区文锦北路与田贝二路交汇处德宏天下A栋、B栋裙楼半地下室层004号,lng:114.123647|lat:22.561081
4403000000023271,马山,0755-23199138,东晓街道,罗湖区东晓街道草埔东紫荆花园A座2楼,lng:114.117505|lat:22.58673
4403000000023272,银湖,0755-82427262,清水河街道,银湖社区居委会地址：罗湖区北环大道1028号华润银湖蓝山11号楼二楼,lng:114.082981|lat:22.570397
4403000000023273,北头,0755-26425860,南山街道,南新路北头豪苑1173号北头股份公司一楼,lng:113.91875|lat:22.520515
4403000000023274,登良,0755-26433615,南山街道,南山区中兴工业城7栋1楼,lng:113.92337|lat:22.515604
4403000000023275,风华,0755-86058597,南山街道,南山区前海路鼎太风华南会所三楼,lng:113.912398|lat:22.51884
4403000000023276,荔林,0755-86033163,南山街道,南山区荔林路8号中熙君南山2栋首层,lng:113.916831|lat:22.508388
4403000000023277,南光,0755-26072028,南山街道,南山区海德二道418号南光花园9栋首层,lng:113.924633|lat:22.522449
4403000000023278,南山,0755-86251662,南山街道,南山区阳光科创中心E座2楼,lng:113.914276|lat:22.51379
