AECX1101,AECX1102,AECX1107,AZZX0011,AECX1104
4403000000023163,德兴,0755-28878288,布吉街道,龙岗区布吉街道西环路钱排村源丰楼
4403000000023164,龙珠,0755-84036238,布吉街道,龙岗区布吉街道龙珠花园龙凤阁1楼
4403000000023165,国展,0755-89969208,布吉街道,龙岗区布吉街道百合星城D栋121-122号
4403000000023166,罗岗,0755-84706555,布吉街道,龙岗区布吉街道罗岗荔山公馆5号楼1-2楼
4403000000023167,凤凰,0755-84189328,布吉街道,龙岗区布吉街道西环路格塘新村97号
4403000000023168,丽湖,0755-28549607,吉华街道,龙岗区吉华街道上水花园208栋
4403000000023169,东方半岛,0755-28759517,布吉街道,龙岗区布吉街道半岛苑一栋二楼
4403000000023170,中海怡翠,0755-28531223,吉华街道,龙岗区吉华街道中海怡翠山庄23栋二楼
4403000000023171,茂业,0755-28721025,布吉街道,龙岗区布吉街道龙岗大道（布吉段）2279号知春里大厦七楼
4403000000023172,光华,0755-89317222,吉华街道,龙岗区吉华街道阳光花园17栋2楼
4403000000023173,金排,0755-22258531,布吉街道,龙岗区布吉街道金排社区金稻田路理想家园3栋1楼
4403000000023174,南三,0755-28591460,布吉街道,龙岗区布吉街道金运路38号吉大花园C栋三单元一楼
4403000000023151,木棉湾,0755-28887983,布吉街道,龙岗区布吉街道木棉湾怡国路332号
4403000000023152,大芬,0755-89513887,布吉街道,龙岗区布吉街道大芬中怡路40号
4403000000023175,翠湖,0755-84271478,吉华街道,龙岗区吉华街道大靓花园综合楼一楼
4403000000023176,文景,0755-84272090,布吉街道,龙岗区布吉街道金运家园2B栋2楼
4403000000023177,可园,0755-84418833,布吉街道,龙岗区布吉街道湖中路可园花园19栋商铺1103号
4403000000023178,四季花城,0755-28770019,坂田街道,龙岗区坂田街道四季花城桂花苑东商业街F102商铺二楼
4403000000023179,新雪,0755-28791716,坂田街道,龙岗区坂田街道新雪社区坂澜大道嘉霖华禧5、6栋商铺负二楼
4403000000023180,三溪,0755-84207418,葵涌办事处,大鹏新区葵涌办事处金业路138号1楼
4403000000023181,坂田,0755-28893886,坂田街道,龙岗区坂田街道坂田第三工业区1栋
4403000000023182,杨美,0755-89608005,坂田街道,龙岗区坂田街道杨美社区发达路风清林苑一、二楼
4403000000023183,大发埔,0755-89749228,坂田街道,龙岗区坂田街道大发埔里石排村一巷20号A栋坂田集团商务中心附楼1楼
4403000000023184,南坑,0755-84190839,坂田街道,龙岗区坂田街道南坑社区南坑市场三楼
4403000000023185,马安堂,0755-28777629,坂田街道,龙岗区坂田新河街8-1号
4403000000023186,五和,0755-84712138,坂田街道,龙岗区坂田街道和磡村一巷1号1、4、5楼
4403000000023187,万科城,0755-89506934,坂田街道,龙岗区坂田街道坂雪岗大道万科城丁香公寓二楼
4403000000023188,第五园,0755-89370076,坂田街道,龙岗区坂田街道第五园五期二栋一楼
4403000000023189,象角塘,0755-28386601,坂田街道,龙岗区坂田街道雪象花园新村B区61-63-85栋1、2楼
4403000000023190,官湖,0755-84236122,葵涌办事处,大鹏新区葵涌办事处官湖东路88号3楼
4403000000023191,丹竹头,0755-28754868,南湾街道,龙岗区南湾街道丹竹头社区共创盈公馆2楼
4403000000023192,土洋,0755-84230405,葵涌办事处,大鹏新区葵涌办事处吓门路18号3楼
4403000000023193,吉厦,0755-28740683,南湾街道,龙岗区南湾街道吉厦社区裕昌路6号
4403000000023194,厦村,0755-28753903,南湾街道,龙岗区南湾街道厦村社区桂新三路2号
4403000000023195,樟树布,0755-89368534,南湾街道,龙岗区南湾街道布沙路59号六楼
4403000000023196,葵丰,0755-84202933,葵涌办事处,大鹏新区葵涌办事处丰树山东路98号3楼
4403000000023197,葵涌,0755-84209806,葵涌办事处,大鹏新区葵涌办事处葵涌延安路6号3-4楼
4403000000023198,沙湾,0755-28748724,南湾街道,龙岗区南湾街道沙湾兴华路66号
4403000000023199,南龙,0755-84268177,南湾街道,龙岗区南湾街道南岭花园综合市场三楼
4403000000023200,葵新,0755-84206568,葵涌办事处,大鹏新区葵涌办事处葵鹏路30号1-3楼
4403000000023201,鹏城,0755-84319843,大鹏办事处,大鹏新区大鹏办事处鹏城社区鹏飞路82号
4403000000023202,布新,0755-84305136,大鹏办事处,大鹏新区大鹏办事处布新社区布新路33号
4403000000023203,南新,0755-84038706,南湾街道,龙岗区南湾街道布沙路140号
4403000000023204,岭澳,0755-84308591,大鹏办事处,大鹏新区大鹏办事处岭南路9号
4403000000023217,南联,0755-84828256,龙岗街道,龙岗区龙岗街道南联路32号
4403000000023218,大鹏,0755-84303010,大鹏办事处,大鹏新区大鹏办事处王母街18号
4403000000023219,新生,0755-84889831,龙岗街道,龙岗区龙岗街道新生社区沿河路8号
4403000000023220,南约,0755-84822259,宝龙街道,龙岗区宝龙街道南约社区比宝二路83号
4403000000023221,同乐,0755-89266525,宝龙街道,龙岗区宝龙街道同乐社区乐园路18号
4403000000023222,龙岗墟,0755-28832232,龙岗街道,龙岗区龙岗街道紫苑街108号
4403000000023223,平南,0755-84809011,龙岗街道,龙岗区龙岗街道碧新路2033号
4403000000023224,宝龙,0755-89900500,宝龙街道,龙岗区宝龙街道宝龙社区宝龙二路1号
4403000000023225,同德,0755-89266186,宝龙街道,龙岗区宝龙街道同德社区浪背村9号
4403000000023226,六约,0755-28633112,横岗街道,龙岗区横岗街道六约社区恒丰路22号
4403000000023227,横岗,0755-28861963,横岗街道,龙岗区横岗街道横岗社区坝心街3号
4403000000023228,同心,0755-89266621,宝龙街道,龙岗区宝龙街道深汕路（龙岗段）341号万泉工业区内固本强基综合楼
4403000000023229,龙东,0755-84862251,宝龙街道,龙岗区宝龙街道龙东社区金井路33号
4403000000023230,龙新,0755-28835795,宝龙街道,龙岗区宝龙街道龙新社区龙升路89号
4403000000023231,爱联,0755-28955666,龙城街道,龙岗区龙城街道爱联社区爱南路666号一楼大厅
4403000000023232,王母,0755-84305285,大鹏办事处,大鹏新区大鹏办事处迎宾路70号
4403000000023233,水头沙,0755-84428266,南澳办事处,大鹏新区南澳办事处南澳水头沙社区水沙路100号
4403000000023234,回龙埔,0755-28936274,龙城街道,龙岗区龙城街道万科翰林城12栋1楼便民服务大厅
4403000000023235,愉园,0755-89729319,龙城街道,龙岗区龙城街道中心城万科金色沁园7栋1楼
4403000000023236,尚景,0755-89987601,龙城街道,龙岗区龙城街道中心城尚景华园16栋A112号
4403000000023237,黄阁坑,0755-89983868,龙城街道,龙岗区龙城街道天昊华庭A8栋2楼
4403000000023238,盛平,0755-28962258,龙城街道,龙岗区龙城街道盛平社区龙西东路41号
4403000000023239,龙红格,0755-28937979,龙城街道,龙岗区龙城街道黄阁翠苑会所109号
4403000000023240,紫薇,0755-28901492,龙城街道,龙岗区龙城街道新亚洲花园商铺一区吉祥路249号二楼
4403000000023241,新联,0755-28966555,龙城街道,龙岗区龙城街道龙城街道爱联美晨路18号
4403000000023242,嶂背,0755-28953331,龙城街道,龙岗区龙城街道嶂背社区园湖路横三巷3号
4403000000023243,吉祥,0755-89335556,龙城街道,龙岗区龙城街道爱联社区美晨路18号爱联办公大厦
4403000000023244,六联,0755-84088823,坪地街道,龙岗区坪地街道六联社区鹤鸣西路18号
4403000000023245,坪西,0755-84083638,坪地街道,龙岗区坪地街道坪西社区富泰南路1号
4403000000023246,年丰,0755-84086217,坪地街道,龙岗区坪地街道年丰社区坪梓路21号
4403000000023247,坪东,0755-84076826,坪地街道,龙岗区坪地街道同心南路78号
4403000000023248,四方埔,0755-84077986,坪地街道,龙岗区坪地街道西湖塘街6号
4403000000023249,中心,0755-84091956,坪地街道,龙岗区坪地街道湖田路8号
4403000000023250,怡心,0755-84053296,坪地街道,龙岗区坪地街道文明东路21号
4403000000023251,坪地,0755-84090548,坪地街道,龙岗区坪地街道湖田路66号
4403000000023252,高桥,0755-84089030,坪地街道,龙岗区坪地街道教育北路72号
4403000000023253,西涌,0755-84421165,南澳办事处,大鹏新区南澳办事处西涌鹤薮二区190号
4403000000023254,东涌,0755-84420061,南澳办事处,大鹏新区南澳办事处东涌社区大围126号
4403000000023255,东山,0755-84422459,南澳办事处,大鹏新区南澳办事处东山社区大碓路58号
4403000000023256,东渔,0755-84422452,南澳办事处,大鹏新区南澳办事处东渔街1号
4403000000023257,南渔,0755-84404223,南澳办事处,大鹏新区南澳办事处人民路2号6楼
4403000000023258,南澳,0755-84401426,南澳办事处,大鹏新区南澳办事处人民路2号（文体中心）三楼309室
4403000000023259,新大,0755-84425457,南澳办事处,大鹏新区南澳办事处新大路55号
4403000000023260,南隆,0755-84401154,南澳办事处,大鹏新区南澳办事处人民路39号
4403000000023261,华航,0755-83258618,华强北街道,福田区振华路V尚街三楼
4403000000023262,罗湖桥,0755-82221933,南湖街道,罗湖区人民南路2011号联华大厦2楼
4403000000023263,渔邨,0755-22161149,南湖街道,罗湖区渔民村38号幸福万象一楼
4403000000023264,向西,0755-22318992,南湖街道,罗湖区东门南路太阳岛大厦12N
4403000000023265,嘉南,0755-25106805,南湖街道,罗湖区春风路广西外贸小区3号楼3楼
4403000000023266,桂木园,0755-82475206,桂园街道,罗湖区桂园路24号桂木园小区1栋2楼
4403000000023267,鹿丹村,0755-82495104,桂园街道,罗湖区中海鹿丹名苑10栋201、202
4403000000023268,翠平,0755-25612897,翠竹街道,罗湖区田贝二路9号金翠园A座二楼
4403000000023269,翠锦,0755-25601593,翠竹街道,罗湖区田贝四路水田一街10号2楼（水贝肉菜市场楼上）
4403000000023270,民新,0755-25485065,翠竹街道,罗湖区文锦北路与田贝二路交汇处德宏天下A栋、B栋裙楼半地下室层004号
4403000000023271,马山,0755-23199138,东晓街道,罗湖区东晓街道草埔东紫荆花园A座2楼
4403000000023272,银湖,0755-82427262,清水河街道,银湖社区居委会地址：罗湖区北环大道1028号华润银湖蓝山11号楼二楼
4403000000023273,北头,0755-26425860,南山街道,南新路北头豪苑1173号北头股份公司一楼
4403000000023274,登良,0755-26433615,南山街道,南山区中兴工业城7栋1楼
4403000000023275,风华,0755-86058597,南山街道,南山区前海路鼎太风华南会所三楼
4403000000023276,荔林,0755-86033163,南山街道,南山区荔林路8号中熙君南山2栋首层
4403000000023277,南光,0755-26072028,南山街道,南山区海德二道418号南光花园9栋首层
4403000000023278,南山,0755-86251662,南山街道,南山区阳光科创中心E座2楼
4403000000023279,月亮湾,0755-26523177,南山街道,南山区兴海大道22号月亮湾花园33栋102号
4403000000023280,东方,0755-26922477,沙河街道,南山区华侨城东方花园服务楼301号
4403000000023281,星河,0755-26924303,沙河街道,南山区沙河世纪假日广场B座209
4403000000023282,大铲,0755-26697637,蛇口街道,南山区后海理想雅园裙楼13-15号
4403000000023283,东角头,0755-26826077,蛇口街道,南山区蛇口街道望海路1088号海韵嘉园东区裙楼1楼
4403000000023284,海滨,0755-26865131,蛇口街道,南山区蛇口新荣村小区C3栋一层101-103房
4403000000023285,南水,0755-26682833,蛇口街道,南山区蛇口公园南路11号南水社区工作站1楼
4403000000023287,湾厦,0755-88275127,蛇口街道,南山区蛇口湾厦北路122号泰福苑三楼
4403000000023288,渔二,0755-26671028,蛇口街道,南山区蛇口新街90号二楼渔二社区工作站
4403000000023289,桂园,0755-26828241,招商街道,南山区近海路招商服务大厦南座二楼（约596平方米）
4403000000023290,水湾,0755-26884231,招商街道,南山区蛇口荔园路38号水湾1979花园3座4楼
4403000000023291,五湾,0755-26815913,招商街道,南山区蛇口松湖二路8号鲸山花园9期十四栋1层
4403000000023292,沿山,0755-26828642,招商街道,南山区沿山路42号花园城5期2栋一楼
4403000000023293,滨海,0755-26555693,粤海街道,南山区书山路26号海文花园会所2楼
4403000000023294,创业路,0755-26643157,粤海街道,南山区龙城路58号
4403000000023295,大冲,0755-26741637,粤海街道,南山区科技园大冲社区新城花园2栋2C3楼
4403000000023296,高新区,0755-86152712,粤海街道,南山区深圳湾科技生态园2栋A座2楼
4403000000023297,深大,0755-26558386,粤海街道,南山区深圳大学乔相阁一楼
4403000000023298,粤桂,0755-26720689,粤海街道,南山区桂庙新村90号一楼
4403000000023299,长源,0755-26587069,桃源街道,南山区桃源街道长源社区长源花园1号楼二楼
4403000000023300,大学城,0755-26519201,桃源街道,南山区丽山路16号西湖林语名苑3栋一楼
4403000000023301,福光,0755-86180728,桃源街道,南山区学苑大道崇文花园5A栋一楼
4403000000023302,龙光,0755-26786977,桃源街道,南山区桃源街道龙井路龙井村东区15号一楼
4403000000023303,龙辉,0755-26547435,桃源街道,南山区龙珠大道245号龙辉花园26栋107
4403000000023304,沙湖,0755-84625588,碧岭街道,坪山区碧岭街道沙湖同裕路238号
4403000000023305,碧岭,0755-84629483,碧岭街道,坪山区坪山街道碧岭社区风顺路28号
4403000000023306,汤坑,0755-84625488,碧岭街道,坪山区碧沙北路坪山首座四栋六楼
4403000000023307,坪环,0755-28826324,马峦街道,坪山区马峦街道坪环路34号
4403000000023308,龙联,0755-86230263,桃源街道,南山区桃源街道龙珠一路6号桃源文体中心附属楼A座三楼
4403000000023309,江岭,0755-89936088,马峦街道,坪山区坪山街道江岭社区文化广场办公大楼
4403000000023310,沙坣,0755-89928892,马峦街道,坪山区马峦街道同富裕工业区宿舍6栋
4403000000023311,金龟,0755-84627388,石井街道,坪山区坪山街道坪葵路189号
4403000000023312,石井,0755-84621282,石井街道,坪山区坪山街道石井金田路15号
4403000000023313,田头,0755-84632266,石井街道,坪山区金田路212号
4403000000023314,田心,0755-84632831,石井街道,坪山区金田路348号
4403000000023315,竹坑,0755-84630508,龙田街道,坪山区龙田街道金牛东路66号
4403000000023316,南布,0755-89666343,龙田街道,坪山区燕子岭五路海昱生活区南布社区工作站
4403000000023317,平山,0755-26985657/26985581,桃源街道,南山区桃源街道平山社区平山村平福苑二楼
4403000000023318,龙田,0755-84123557,龙田街道,坪山区龙田街道街道龙田社区龙腾路23号
4403000000023319,坑梓,0755-84133160,坑梓街道,坪山区坑梓街道人民西路1号
4403000000023320,秀新,0755-84134569,坑梓街道,坪山区坑梓街道人民西路32号
4403000000023321,金沙,0755-84129578,坑梓街道,坪山区坑梓街道金康路71号
4403000000023322,沙田,0755-84126767,坑梓街道,坪山区坑梓街道沙田南路1号
4403000000023323,六联,0755-28361516,坪山街道,坪山区坪山街道东成路8号
4403000000023286,坪山,0755-28826492,坪山街道,坪山区坪山街道立北小区四巷11号
4403000000023324,六和,0755-28822663,坪山街道,坪山区坪山街道正坑路6号
4403000000023325,和平,0755-28829696,坪山街道,坪山区坪山街道中兴西2巷26号
4403000000023326,塘朗,0755-26554116,桃源街道,南山区桃源街道塘朗大厦1号2楼
4403000000023327,桃源,0755-26793621,桃源街道,南山区龙珠大道桃源村94栋二楼
4403000000022669,珠光,0755-86652908,桃源街道,南山区桃源街道龙珠一路6号桃源文体中心附属楼A座四楼
4403000000022670,峰景,0755-86107512,桃源街道,南山区龙珠大道040号梅州大厦三楼
4403000000022671,白花,0755-27432208,光明街道,光明区光明街道白花社区富民大道社区综合服务楼
4403000000022672,龙珠,0755-86075407,桃源街道,南山龙珠八路桃源村三期3C负一楼。
4403000000022673,西田,0755-27113079,公明街道,光明区公明街道西田社区志康路10号综合楼
4403000000022674,李松蓢,0755-27126398,公明街道,光明区公明街道李松蓢社区浦园路2号
4403000000022675,梧桐,0755-25360297,海山街道,盐田区香径东街28号暗径新村1栋2楼
4403000000022676,下村,0755-27160209,公明街道,光明区公明街道下村社区富利路与水荫路交汇处
4403000000022677,公明,0755-27738747,公明街道,光明区公明街道振明路150号
4403000000022678,鹏湾,0755-25557189,海山街道,盐田区深盐路马庙街9号
4403000000022679,圳美,0755-81767305,新湖街道,光明区新湖街道圳美社区公常路234号
4403000000022680,盐田,0755-82633813,盐田街道,盐田区盐田安置区1号201（盐田社区综合服务楼或渔民新村篮球场旁）
4403000000022681,塘家,0755-29905006,凤凰街道,光明区凤凰街道塘家社区同业路光谷苑二栋二楼
4403000000022682,塘尾,0755-27176633,凤凰街道,光明区凤凰街道塘尾社区高墩北路198号
4403000000022683,东坑,0755-27170007,凤凰街道,光明区凤凰街道东坑社区东隆路1号
4403000000022684,甲子塘,0755-27173817,凤凰街道,光明区凤凰街道甲子塘社区康茂路9号
4403000000022685,小梅沙,0755-25036099,梅沙街道,盐田区小梅沙村68号小梅沙社区综合楼
4403000000022686,田寮,0755-27191939,玉塘街道,光明区玉塘街道田寮社区文明路88号
4403000000022687,长圳,0755-27181823,玉塘街道,光明区玉塘街道长圳社区长祥路3号
4403000000022688,玉律,0755-27171292,玉塘街道,光明区玉塘街道玉律社区玉泉西路169号
4403000000022689,红星,0755-23193561,玉塘街道,光明区玉塘街道红星社区星湖路41号
4403000000022690,薯田埔,0755-27129702,马田街道,光明区马田街道薯田埔社区西环大道355号
4403000000022691,洪浪,0755-27590149/29235383,新安街道,宝安区20区洪浪南路3号
4403000000022692,宝民,0755-27804552,新安街道,宝安区新安街道24区宝民花园20栋党群服务中心
4403000000022693,根竹园,0755-23427931,马田街道,光明区马田街道根竹园花园二楼
4403000000022694,将围,0755-23245125,马田街道,光明区马田街道将围社区将石路37号将军围广场旁
4403000000022695,新庄,0755-21380867,马田街道,光明区马田街道新庄社区大围延昌路57号
